id,category,subcategory,title,abstract,text,similarity
N60905,autos,autosenthusiasts,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly,The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.,0.5773502691896258
N49186,weather,weathertopstories,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way","There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.","It's been Orlando's hottest October ever so far, but cooler temperatures on the way There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.",0.5773502691896258
N19639,health,weightloss,50 Worst Habits For Belly Fat,These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.,50 Worst Habits For Belly Fat These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.,0.5773502691896257
N47331,health,weightloss,Discouraged From Trying to Lose Belly Fat and Failing? Find Success With These Expert Tips,"Losing belly fat can feel like such a struggle for many women (thank you, genetics, hormones, and happy hour), but even more difficult is preventing the belly fat from coming back once you've lost it.","Discouraged From Trying to Lose Belly Fat and Failing? Find Success With These Expert Tips Losing belly fat can feel like such a struggle for many women (thank you, genetics, hormones, and happy hour), but even more difficult is preventing the belly fat from coming back once you've lost it.",0.34869347823956365
N56301,health,fitness,10 Ways to Burn Belly Fat in 10 Minutes,The good news: Getting your abs back is possible. The bad news: Losing your belly fat is time-consuming and requires dedication to a good diet and regular exercise.,10 Ways to Burn Belly Fat in 10 Minutes The good news: Getting your abs back is possible. The bad news: Losing your belly fat is time-consuming and requires dedication to a good diet and regular exercise.,0.3465157664946646
N60584,health,weightloss,"Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will","If you're trying to lose weight, you're probably doing it to look and feel good, but shedding belly fat, specifically, can also improve your health.","Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will If you're trying to lose weight, you're probably doing it to look and feel good, but shedding belly fat, specifically, can also improve your health.",0.34129959040015934
N16032,health,weightloss,"If You Have a Slow Metabolism, Here Are 5 Doctor-Approved Ways to Burn Belly Fat","If you have a slow metabolism, trying to lose belly fat can be disheartening to say the least. The good news? You can do this.","If You Have a Slow Metabolism, Here Are 5 Doctor-Approved Ways to Burn Belly Fat If you have a slow metabolism, trying to lose belly fat can be disheartening to say the least. The good news? You can do this.",0.34011520223923375
N16912,health,fitness,"Rowing Can Help You Burn Belly Fat, but You'll Need to Take Things Up a Notch - Here's How",You don't need to run to lose belly fat. High-intensity rowing is a great low-impact option.,"Rowing Can Help You Burn Belly Fat, but You'll Need to Take Things Up a Notch - Here's How You don't need to run to lose belly fat. High-intensity rowing is a great low-impact option.",0.29704931731193374
N58200,health,fitness,Cardio Isn't the Best Way to Burn Belly Fat - Here's What Trainers Want You to Do Instead,"Consistent diet and exercise play a role in blasting your belly, but it's true that some workouts do burn fat faster and more efficiently than others.","Cardio Isn't the Best Way to Burn Belly Fat - Here's What Trainers Want You to Do Instead Consistent diet and exercise play a role in blasting your belly, but it's true that some workouts do burn fat faster and more efficiently than others.",0.2927895041321984
N29276,health,nutrition,"3 Foods You Should Eat at Breakfast If You Want to Lose Belly Fat, According to a Dietitian","If you're trying to lose belly fat, you're probably paying more attention to your diet, working to get more exercise, and cutting down on sugar.","3 Foods You Should Eat at Breakfast If You Want to Lose Belly Fat, According to a Dietitian If you're trying to lose belly fat, you're probably paying more attention to your diet, working to get more exercise, and cutting down on sugar.",0.2912699905106437
